STUDY_ID	SAMPLE_ID	ERBB2	ESR1
brca_tcga	TCGA-AR-A1AR-01	1543.4998	410.7761
brca_tcga	TCGA-BH-A1EO-01	4373.5203	11553.2349
brca_tcga	TCGA-BH-A1ES-01	7074.5902	10767.2131
brca_tcga	TCGA-BH-A1ET-01	6668.7476	25210.0533
brca_tcga	TCGA-BH-A1EU-01	2655.9306	27630.0196
brca_tcga	TCGA-BH-A1EV-01	109177.4522	8428.4467
brca_tcga	TCGA-BH-A1EW-01	7971.9626	7339.6837
brca_tcga	TCGA-BH-A1F0-01	3315.1952	170.3409
brca_tcga	TCGA-C8-A1HF-01	173788.8328	1142.2631
brca_tcga	TCGA-C8-A1HG-01	1606.305	10088.7097
brca_tcga	TCGA-C8-A1HI-01	11099.1201	7070.1346
brca_tcga	TCGA-C8-A1HL-01	16460.5059	3830.666
brca_tcga	TCGA-C8-A1HM-01	4365.0568	27341.3826
brca_tcga	TCGA-C8-A1HN-01	10111.2064	33561.6384
brca_tcga	TCGA-E2-A14N-01	1179.3599	28.5905
brca_tcga	TCGA-E2-A15I-01	9041.7034	13924.2798
brca_tcga	TCGA-A2-A1FV-01	5601.4609	15927.8703
brca_tcga	TCGA-A2-A1FW-01	2968.6225	32049.2545
brca_tcga	TCGA-A2-A1FX-01	5051.2491	14058.3576
brca_tcga	TCGA-A2-A1G0-01	18863.5766	4233.7278
brca_tcga	TCGA-A2-A1G1-01	174265.6862	136.348
brca_tcga	TCGA-A2-A1G4-01	3692.7715	47054.7448
brca_tcga	TCGA-A2-A1G6-01	5642.0947	5915.2769
brca_tcga	TCGA-A7-A13G-01	8386.8972	43567.0949
brca_tcga	TCGA-AO-A1KO-01	3466.7113	3268.9863
brca_tcga	TCGA-AO-A1KP-01	3518.6231	20274.8551
brca_tcga	TCGA-AO-A1KQ-01	5821.1977	15362.3613
brca_tcga	TCGA-AO-A1KS-01	4733.0414	28209.5348
brca_tcga	TCGA-AO-A1KT-01	7615.454	6272.6999
brca_tcga	TCGA-AQ-A1H2-01	9438.5349	56910.9383
brca_tcga	TCGA-AQ-A1H3-01	15141.9249	14058.2956
brca_tcga	TCGA-B6-A1KC-01	4431.9794	12043.8427
brca_tcga	TCGA-B6-A1KF-01	40811.1756	511.4242
brca_tcga	TCGA-B6-A1KN-01	121540.3672	8195.5698
brca_tcga	TCGA-BH-A1EN-01	166891.1141	213.7041
brca_tcga	TCGA-BH-A1EX-01	8092.0734	1285.9588
brca_tcga	TCGA-BH-A1EY-01	4685.3572	12047.1559
brca_tcga	TCGA-BH-A1F2-01	40750.2039	3667.711
brca_tcga	TCGA-BH-A1F5-01	3068.5335	29114.2225
brca_tcga	TCGA-BH-A1F6-01	3433.2862	121.1693
brca_tcga	TCGA-BH-A1F8-01	5268.8079	34144.3866
brca_tcga	TCGA-BH-A1FB-01	5351.629	9361.0214
brca_tcga	TCGA-BH-A1FC-01	1806.5465	67.9662
brca_tcga	TCGA-BH-A1FD-01	1738.6891	22247.6798
brca_tcga	TCGA-BH-A1FE-01	7220.7932	3168.5408
brca_tcga	TCGA-BH-A1FG-01	7153.3139	44295.3387
brca_tcga	TCGA-BH-A1FH-01	3680.4706	4815.8526
brca_tcga	TCGA-BH-A1FJ-01	5920.5126	15069.8752
brca_tcga	TCGA-BH-A1FL-01	8845.9741	24163.377
brca_tcga	TCGA-BH-A1FM-01	1830.5392	21325.6004
brca_tcga	TCGA-BH-A1FN-01	2086.9092	3752.2549
brca_tcga	TCGA-BH-A1FR-01	4504.65	46423.8864
brca_tcga	TCGA-C8-A1HE-01	10855.918	66407.9309
brca_tcga	TCGA-C8-A1HJ-01	518.5574	44.4678
brca_tcga	TCGA-C8-A1HK-01	125190.2976	170.0425
brca_tcga	TCGA-C8-A1HO-01	1857.8038	11634.4849
brca_tcga	TCGA-D8-A1J8-01	1428.6497	22087.0994
brca_tcga	TCGA-D8-A1J9-01	182465.9864	2637.101
brca_tcga	TCGA-D8-A1JA-01	60505.4171	105.3629
brca_tcga	TCGA-D8-A1JB-01	10360.8282	8981.6897
brca_tcga	TCGA-D8-A1JC-01	6053.2718	25879.3587
brca_tcga	TCGA-D8-A1JD-01	6982.722	6796.9688
brca_tcga	TCGA-D8-A1JE-01	3202.7873	29412.6849
brca_tcga	TCGA-D8-A1JF-01	7019.929	338.5753
brca_tcga	TCGA-D8-A1JG-01	20037.268	62.8679
brca_tcga	TCGA-D8-A1JH-01	7403.0459	12403.492
brca_tcga	TCGA-D8-A1JI-01	5294.2498	13662.8914
brca_tcga	TCGA-D8-A1JK-01	4661.346	90.0536
brca_tcga	TCGA-D8-A1JL-01	2352.8693	73.5806
brca_tcga	TCGA-D8-A1JM-01	4695.5721	1409.2549
brca_tcga	TCGA-D8-A1JN-01	6692.1173	25478.2351
brca_tcga	TCGA-D8-A1JP-01	4883.7656	29614.3132
brca_tcga	TCGA-D8-A1JS-01	9629.7254	13277.2213
brca_tcga	TCGA-D8-A1JT-01	3669.7439	25046.4562
brca_tcga	TCGA-D8-A1JU-01	7111.2152	13506.7167
brca_tcga	TCGA-E2-A1IE-01	9564.6216	17662.7842
brca_tcga	TCGA-E2-A1IH-01	5954.5566	8176.5237
brca_tcga	TCGA-E2-A1IN-01	5844.4142	19988.0109
brca_tcga	TCGA-E2-A1L6-01	6009.1936	7149.2014
brca_tcga	TCGA-E2-A1L8-01	5928.8377	11387.6652
brca_tcga	TCGA-E2-A1L9-01	5158.9868	10358.394
brca_tcga	TCGA-EW-A1IW-01	112544.1377	14506.9691
brca_tcga	TCGA-EW-A1IY-01	2062.1902	6429.2477
brca_tcga	TCGA-EW-A1IZ-01	6969.9626	6063.0679
brca_tcga	TCGA-EW-A1J1-01	7429.2589	14908.2451
brca_tcga	TCGA-EW-A1J2-01	12674.6595	13710.376
brca_tcga	TCGA-EW-A1J3-01	58878.4304	12668.0987
brca_tcga	TCGA-EW-A1J5-01	12304.2105	9524.2105
brca_tcga	TCGA-EW-A1J6-01	4108.139	31832.9669
brca_tcga	TCGA-A1-A0SB-01	6711.5666	860.4573
brca_tcga	TCGA-A1-A0SF-01	7976.8748	7895.9065
brca_tcga	TCGA-A1-A0SG-01	10661.1466	16508.6851
brca_tcga	TCGA-A1-A0SI-01	4482.9311	4144.4968
brca_tcga	TCGA-A1-A0SN-01	152909.5574	12718.73
brca_tcga	TCGA-A1-A0SQ-01	5585.0731	12833.888
brca_tcga	TCGA-AO-A1KR-01	7880.9365	72.9097
brca_tcga	TCGA-E2-A1IF-01	5199.4602	11147.6461
brca_tcga	TCGA-E2-A1IG-01	8666.6667	8482.3386
brca_tcga	TCGA-E2-A1II-01	1885.2972	28.6757
brca_tcga	TCGA-E2-A1IJ-01	11435.4528	8730.2505
brca_tcga	TCGA-E2-A1IK-01	1623.3333	32707.7778
brca_tcga	TCGA-E2-A1IO-01	9096.4203	5555.4423
brca_tcga	TCGA-E2-A1L7-01	1928.4241	7370.6175
brca_tcga	TCGA-E2-A1LA-01	10551.4019	11522.4744
brca_tcga	TCGA-E2-A1LB-01	240416.4888	70.0887
brca_tcga	TCGA-E2-A1LL-01	2583.5612	408.8096
brca_tcga	TCGA-E9-A1N6-01	14310.6888	9520.6651
brca_tcga	TCGA-E9-A1N8-01	2511.038	7.0456
brca_tcga	TCGA-E9-A1NA-01	4193.5683	10315.0897
brca_tcga	TCGA-E9-A1ND-01	2640.6665	315.3408
brca_tcga	TCGA-EW-A1IX-01	11108.2729	5673.1589
brca_tcga	TCGA-EW-A1OV-01	5706.7511	50.6329
brca_tcga	TCGA-EW-A1OW-01	4095.021	16.7966
brca_tcga	TCGA-EW-A1OX-01	5417.1988	13234.1422
brca_tcga	TCGA-EW-A1OY-01	8948.3204	28248.062
brca_tcga	TCGA-EW-A1OZ-01	137285.6281	3630.6578
brca_tcga	TCGA-EW-A1P0-01	467.8284	8308.7578
brca_tcga	TCGA-EW-A1P3-01	14074.136	12993.311
brca_tcga	TCGA-EW-A1P4-01	2999.6203	52.3918
brca_tcga	TCGA-EW-A1P5-01	4606.0721	27647.4731
brca_tcga	TCGA-EW-A1P6-01	6359.5714	23767.165
brca_tcga	TCGA-EW-A1P7-01	9480.1325	543.4603
brca_tcga	TCGA-EW-A1P8-01	3336.9176	266.6667
brca_tcga	TCGA-EW-A1PA-01	4475.4117	29003.3399
brca_tcga	TCGA-EW-A1PB-01	3181.0525	70.353
brca_tcga	TCGA-EW-A1PD-01	16708.1335	12984.5622
brca_tcga	TCGA-EW-A1PE-01	6818.7237	29388.5401
brca_tcga	TCGA-EW-A1PF-01	5668.226	16752.4289
brca_tcga	TCGA-EW-A1PG-01	7273.4807	3532.5967
brca_tcga	TCGA-A2-A1FZ-01	8683.0782	19629.2925
brca_tcga	TCGA-BH-A1FU-01	116440.8835	177.9991
brca_tcga	TCGA-D8-A1X5-01	43669.2484	27956.8016
brca_tcga	TCGA-D8-A1XA-01	7206.8966	30794.3205
brca_tcga	TCGA-D8-A1XB-01	6327.3891	16168.267
brca_tcga	TCGA-D8-A1XC-01	2945.527	63374.6678
brca_tcga	TCGA-D8-A1XD-01	10058.8171	8229.1462
brca_tcga	TCGA-D8-A1XF-01	8059.0548	11786.4943
brca_tcga	TCGA-D8-A1XG-01	2811.857	36447.3908
brca_tcga	TCGA-E2-A1IL-01	10038.7481	18006.6491
brca_tcga	TCGA-E2-A1IP-01	NA	NA
brca_tcga	TCGA-E2-A1IU-01	10754.3679	27715.9301
brca_tcga	TCGA-E2-A1LH-01	4964.6923	91.0669
brca_tcga	TCGA-E2-A1LK-01	7758.3804	110.9262
brca_tcga	TCGA-E9-A1N5-01	3192.2904	6987.9414
brca_tcga	TCGA-E9-A1N9-01	3831.4995	19089.2971
brca_tcga	TCGA-E9-A1NF-01	4387.3173	18105.8875
brca_tcga	TCGA-E9-A1NH-01	8130.1431	17635.9571
brca_tcga	TCGA-E9-A1NI-01	6689.2596	19910.8446
brca_tcga	TCGA-E9-A1R2-01	12293.0083	10254.8298
brca_tcga	TCGA-E9-A1R4-01	5016.1549	9788.6952
brca_tcga	TCGA-E9-A1R6-01	14388.6861	38653.6992
brca_tcga	TCGA-E9-A1RA-01	6421.8456	7472.693
brca_tcga	TCGA-E9-A1RG-01	7991.22	14725.5083
brca_tcga	TCGA-EW-A1P1-01	4841.2779	803.7525
brca_tcga	TCGA-AQ-A0Y5-01	133651.0458	1265.5547
brca_tcga	TCGA-B6-A1KI-01	11387.0305	27749.4131
brca_tcga	TCGA-BH-A201-01	6514.7679	6519.3709
brca_tcga	TCGA-BH-A202-01	47006.4437	6717.8145
brca_tcga	TCGA-D8-A1JJ-01	2553.7172	13554.5261
brca_tcga	TCGA-D8-A1X6-01	5207.0046	22845.7645
brca_tcga	TCGA-D8-A1X7-01	1773.6082	21645.6892
brca_tcga	TCGA-D8-A1X8-01	9333.015	38969.0459
brca_tcga	TCGA-D8-A1XJ-01	226650.0792	9615.5037
brca_tcga	TCGA-D8-A1XK-01	2466.0919	17.3783
brca_tcga	TCGA-D8-A1XL-01	15416.3117	1751.6846
brca_tcga	TCGA-D8-A1XM-01	12403.7447	7563.2911
brca_tcga	TCGA-D8-A1XO-01	6597.3374	22742.5943
brca_tcga	TCGA-D8-A1XQ-01	3399.2129	39.4991
brca_tcga	TCGA-D8-A1XR-01	5372.8358	11370.4607
brca_tcga	TCGA-D8-A1XS-01	12678.1208	11775.2964
brca_tcga	TCGA-D8-A1XT-01	136713.8038	65.8774
brca_tcga	TCGA-D8-A1XU-01	4163.3706	26056.4632
brca_tcga	TCGA-D8-A1XV-01	2247.2952	46293.6631
brca_tcga	TCGA-D8-A1XW-01	4067.1131	69.8217
brca_tcga	TCGA-D8-A1XY-01	8665.5651	10728.0238
brca_tcga	TCGA-D8-A1XZ-01	3075.6939	4053.8267
brca_tcga	TCGA-D8-A1Y0-01	4473.9921	15339.8327
brca_tcga	TCGA-D8-A1Y1-01	5949.4723	10250.9838
brca_tcga	TCGA-E2-A1LG-01	9723.2801	6.7568
brca_tcga	TCGA-E9-A1N4-01	3790.8997	2962.6504
brca_tcga	TCGA-E9-A1NE-01	4425.0434	4759.3112
brca_tcga	TCGA-E9-A1NG-01	4850.1827	2760.3532
brca_tcga	TCGA-E9-A1R3-01	4414.3287	4966.6834
brca_tcga	TCGA-E9-A1R5-01	10705.6991	15106.1911
brca_tcga	TCGA-E9-A1R7-01	7942.9979	55561.5764
brca_tcga	TCGA-EW-A1PH-01	6272.3343	20.1729
brca_tcga	TCGA-AC-A23E-01	6296.2397	4663.1
brca_tcga	TCGA-AC-A23H-01	90019.1921	269.8802
brca_tcga	TCGA-BH-A204-01	3620.2474	38535.24
brca_tcga	TCGA-BH-A208-01	4613.1387	173.4394
brca_tcga	TCGA-BH-A209-01	1946.4339	7105.6526
brca_tcga	TCGA-D8-A1X9-01	12363.4754	21229.0376
